SERVICO_OU_PRODUTO,RAZAO_SOCIAL,NOME_FANTASIA,TELEFONE,EMAIL,UF,CIDADE,ENDERECO,CNPJ,SITE,CNAE,PORTIFÓLIO,NOTA
Aquisição - (Canecas),MAGAZINE LUIZA AS,MAGAZINE LUIZA,(16) 3711-2002,FISCAL.ESTADUAL@MAGAZINELUIZA.COM.BR,SP,Louveira,"ROD DOS BANDEIRANTES, KM 68+760, SN, SETOR A, 13.294-901 - GLEBAS",47.960.950/1088-36,-,"47.13-0-04 - Lojas de departamentos ou magazines, exceto lojas francas (Duty free)",,
Aquisição - (Canecas),ARDAGGIO LTDA,ARDAGGIO,(62) 9188-4639,HELIO.JUNIOR00@GMAIL.COM,GO,Anapolis,"R JOAO ANTONIO GUIMARAES,S/N, QUADRA- 04 LOTE 18, 75.060-005 - NOVA ALEXANDRINA",37.576.838/0001-38,-,47.59-8-99 - Comércio varejista de outros artigos de uso pessoal e doméstico não especificados anteriormente,,
Aquisição - (Filamentos),3D FILA INDUSTRIA E COMERCIO LTDA,3D FILA,(31) 3029-1400,CONTABJF@CONTABJF.COM.BR,MG,Belo Horizonte,"AV DEL REY, 111, SALA 604 BLOCO D ,30.775-240 - CAICARAS",36.347.341/0001-85,-,22.29-3-02 - Fabricação de artefatos de material plástico para usos industriais,,
Aquisição - (Filamentos),GTMAX3D EQUIPAMENTOS ELETRONICOS E MATERIAIS PLASTICOS LTDA,-,(19) 3406-2511,CONTASPAGAR@GTMAX.COM.BR,SP,Americana,"R DO VIDRACEIRO, 192, 13.478-734 - JARDIM WERNER PLAAS",29.012.453/0001-10,-,"26.51-5-00 - Fabricação de aparelhos e equipamentos de medida, teste e controle",,
Aquisição - (Filamentos),PRINTALOT COMERCIO LTDA,-,(11) 5073-9225,PRINTALOT@PRINTALOT.COM.BR,SP,São Paulo,"R IGUATEMI, 239, ANDAR 4 CONJ 43, 01.451-011 - ITAIM BIBI",29.207.588/0001-30,-,46.89-3-99 - Comércio atacadista especializado em outros produtos intermediários não especificados anteriormente,,
Aquisição - (Lampada Projetor),LC Equipamentos Comercio e Serviço Eireli,Mercado do Projetor,(81) 9 9973 - 4759 | 3849 / 6606,pgomes@mercadodoprojeto.com.br,SP,São Paulo,"Rua Comendador Miguel Calfat, 128, CJ 1311 - Vila Nova Conceição",25.070.056/0001-43,-,47.53-9-00 - Comércio varejista especializado de eletrodomésticos e equipamentos de áudio e vídeo,,
Aquisição - (Lampada Projetor),DULCE MARIA GIUSFREDI EQUIPAMENTOS AUDIOVISUAIS,LITEPLAY TECNOLOGIA AUDIOVISUAL,(11) 2273-9987,sac@liteplay.com.br,SP,São Paulo,"R CONSELHEIRO AMARAL, 82, 05.116-080 - VILA JAGUARA",14.047.019/0001-06,https://www.liteplay.com.br/,47.51-2-01 - Comércio varejista especializado de equipamentos e suprimentos de informática,,
Aquisição - (Lampada Projetor),MRC do Brasil - Comercial de Eletroeletronico LTDA,Projetor Lâmpadas,(41) 9 9962 - 0028,vendas01@projetorlampadas.com.br,PR,Curitiba,"Rua Francisco Rocha, 1928 - Bigorrilho",13.382.506/0001-54,-,46.49-4-02 - Comércio atacadista de aparelhos eletrônicos de uso pessoal e doméstico,,
Aquisição - (Material de Escritório ),P H DISTRIBUIDORA E ATACADO DE LIMPEZA LTDA,BR DISTRIBUIDORA,(81) 9866-6351,PEDRO.ALVES.HF@BRD-BR.COM,PE,Jaboatão dos Guararapes,"R SILVIA FERREIRA, 110, 54.400-220 - PIEDADE",44.747.811/0001-26,-,46.46-0-02 - Comércio atacadista de produtos de higiene pessoal,,
Aquisição - (Material de Escritório ),DISFA - DISTRIBUIDORA FACIL EIRELI - ME,DisFá - Distribuidora Fácil,(81) 3077-2589,ERICKA@DISFA.COM.BR,PE,Recife,"R VISCONDE DE BARBACENA, 94, 1 TRAVESSA AO LADO DO N 11, 50.740-445 - VARZEA",11.142.529/0001-66,-,"46.49-4-08 - Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar",,
Aquisição - (Material de Escritório ),FORTPEL COMERCIO DE DESCARTAVEIS LTDA,FORTPEL,(81) 3541-3424,CONTABILIDADE01@FORTPEL.COM.BR,PE,Paulista,"R DA LINHA, 3770, GALPAO02 03, 53.405-640 - MIRUEIRA",22.006.201/0001-39,-,"46.49-4-08 - Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar",,
Aquisição - (Material de Escritório ),S.A.B. ALBUQUERQUE & BARROSO LTDA,SAN DISTRIBUIDORA,(81) 3040-5333/ (81) 9904-2655,ALESSANDRAALBU@GLOBO.COM,PE,Recife,"R COSMORAMA, 864, GALPAO 03, 51.030-640 - BOA VIAGEM",24.555.390/0001-24,-,"46.49-4-08 - Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar",,
Aquisição - (Material de Limpeza),DISFA - DISTRIBUIDORA FACIL EIRELI - ME,DisFá - Distribuidora Fácil,(81) 3077-2589,ERICKA@DISFA.COM.BR,PE,Recife,"R VISCONDE DE BARBACENA, 94, 1 TRAVESSA AO LADO DO N 11, 50.740-445 - VARZEA",11.142.529/0001-66,-,"46.49-4-08 - Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar",,
Aquisição - (Material de Limpeza),Fortpel Comercio de Descartaveis LTDA,Fortpel,(81) 3541-3424,CONTABILIDADE01@FORTPEL.COM.BR,PE,Paulista,"R DA LINHA, 3770, GALPAO02 03, 53.405-640 - MIRUEIRA",22.006.201/0001-39,-,"46.49-4-08 - Comércio atacadista de produtos de higiene, limpeza e conservação domiciliar",,
Aquisição - (Material de Limpeza),R. A. Produtos e Equipamentos de Limpeza LTDA,Shopping do condomínio Caruaru,(81) 3719-6373,HUGOJLT@HOTMAIL.COM,PE,Caruaru,"R PARANAIBA, 51, A, 55.014-220 - MAURICIO DE NASSAU",13.714.064/0001-04,-,"47.72-5-00 - Comércio varejista de cosméticos, produtos de perfumaria e de higiene pessoal",,
Aquisição - (Passagens Áereas),CLEATUR AGENCIA DE VIAGENS E TURISMO LTDA,-,(81) 3040-4588,BETE.RECIFE@FLYTOUR.COM.BR,PE,Recife,"AV CONS AGUIAR, 2034, APTO 0102 EDF BARAO DE CAMACARI CXPST 112, 51.111-010 - BOA VIAGEM",42.522.054/0001-67,-,79.11-2-00 - Agências de viagens,Link,
Aquisição - (Passagens Áereas),AZUL LINHAS AEREAS BRASILEIRAS S.A. ,-,(11) 4831-1226,TRIBUTARIO@VOEAZUL.COM.BR,SP,Barueri,"AV MARCOS PENTEADO DE ULHOA RODRIGUES, 939, ANDAR 9 EDIF JATOBA COND CASTELO BRANCO OFFICE PARK, 06.460-040 - TAMBORE",09.296.295/0001-60,-,51.11-1-00 - Transporte aéreo de passageiros regular,,
Aquisição - (Passagens Áereas),123 VIAGENS E TURISMO LTDA,-,(31) 3214-5800,FINANCEIRO@123MILHAS.COM.BR,MG,Belo Horizonte,"R DOS AIMORES, 1017, 30.140-071 - BOA VIAGEM",26.669.170/0001-57,-,"74.90-1-04 - Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários",,
Aquisição - (Passagens Áereas),MM TURISMO & VIAGENS S.A,MAX MILHAS ,(31) 3972-2113,CONTABILIDADE@MAXMILHAS.COM.BR,MG,Belo Horizonte,"R MATIAS CARDOSO, 169, ANDAR 5 ANDAR 10 ANDAR 11, 30.170-050 - SANTO AGOSTINHO",16.988.607/0001-61,-,79.11-2-00 - Agências de viagens,,
Aquisição - (Resmas de Papel),MARPAX IMPORTACAO E DISTRIBUICAO LTDA,MARPAX IMPORTACAO E DISTRIBUICAO,(11) 3197-5849,SAC@MARPAX.COM.BR,SP,São Paulo,"R CANTIGAS DE SAUDADE, 4, LOTE 4 QUADRAA, 05.890-050 - JARDIM AMALIA",35.735.022/0001-84,-,46.69-9-99 - Comércio atacadista de outras máquinas e equipamentos não especificados anteriormente; partes e peças,,
Aquisição - (Resmas de Papel),CRIDON COMÉRCIO LTDA,-,(11) 3101-6823/ (11) 2866-0709,SOCD@SOCD.COM.BR,SP,São Paulo,"R BRESSER, 736, LETRA A, 03.017-000 - BRAS",07.686.203/0001-22,-,47.51-2-01 - Comércio varejista especializado de equipamentos e suprimentos de informática,,
Aquisição - (Resmas de Papel),CREATIVE CÓPIAS LTDA,CREATIVE CÓPIAS,(66) 3631-1646/ (66) 3531-1646,NARDI@NARDICONTABIL.COM.BR,MT,Sinop,"AV DOS INGAS, 2314, SALA: A, 78.550-092  - SETOR COMERCIAL",03.769.753/0001-54,-,47.51-2-01 - Comércio varejista especializado de equipamentos e suprimentos de informática,,
Aquisição - (Tecidos),COMERCIAL ITAPEMA LTDA,-,-,-,PE,Recife,"R VIDAL DE NEGREIROS, 144, 50.020-480 - SAO JOSE",05.562.769/0001-17,-,46.41-9-01 - Comércio atacadista de tecidos,,
Aquisição - (Tecidos),JOSEFA MENDES DE ARAUJO SANTOS 12958162885,PURO ALGODAO COMERCIO DE TECIDOS,(11) 4824-2340,puroalgodao2016@gmail.com,SP,São Paulo,"AV NORDESTINA, 4281, SALA 02, 08.032-000 - VILA NOVA CURUCA",27.353.350/0001-98,-,47.55-5-01 - Comércio varejista de tecidos,,
Aquisição - (Tecidos),FANE TECIDOS LTDA.,FANE TECIDOS,(41) 3333-3333,WILIAN@FANETECIDOS.COM.BR,PR,Curitiba,"R CARLOS ESSENFELDER, 3778, 81.730-060 - BOQUEIRAO",12.536.239/0001-60,-,46.41-9-01 - Comércio atacadista de tecidos,,
Aquisição - (Tecidos),AVIL TEXTIL LTDA,AVIL MAGAZINE,(81) 2103-7733/ (81) 2103-7777,CONTABILIDADE@AVIL.COM.BR,PE,Recife,"R DO LIVRAMENTO, 109, RUA PENHA 03 07 13 FUNDOSRUA DO RANGEL 100, 50.020-570 - SANTO ANTONIO",04.917.296/0008-37,-,46.41-9-01 - Comércio atacadista de tecidos,,
Assessoria /Consultoria - (Experimentação e Validação de Protótipos),Alexandra Cisneiros Guerra,Alexandra Cisneiros Guerra,(81) 9 9993 - 6266,xandacisneiros@gmail.com,PE,Jaboatão,"Rua Quim Antônio Victor, 601, Ap 301, 54450-010 - Candeias",33.392.186/0001-20,-,"82.30-0-01 - Serviços de organização de feiras, congressos, exposições e festas",,
Assessoria /Consultoria - (Experimentação e Validação de Protótipos),CODA Produções Artisticas LTDA,CODA Produções Artisticas,(81) 9 8827 - 8222,aninha@coquetelmolotov.com.br,PE,Olinda,"Avenida Governador Carlos de Lima Cavalcanti, 3995, Loja 27, CP 272, 53040-000 - Casa Caida",16.435.371/0001-36,-,90.01-9-02 - Produção musical,,
Assessoria /Consultoria - (Experimentação e Validação de Protótipos),Amazing Model LTDA,Amazing Model,(81) 9 9835 - 1010 | (81) 9 8770 - 1011,viviani@amazingmodel.com.br | financeiro@amazingmodel.com.br,PE,Recife,"Avenida Rio Branco, 139, 50030-310 - Recife Antigo",04.708.738/0001-69,-,"74.90-1-05 - Agenciamento de profissionais para atividades esportivas, culturais e artísticas",,
Assessoria /Consultoria - (Experimentação e Validação de Protótipos),CRIATIVA GAME DESIGN LTDA,CRIATIVA GAME DESIGN,81) 8900-5905 | (81) 9917-0377,michael@luducontabilidade.com,PE,São Caitano,"Rua Olindino Santino, 38, 551300-000 - Centro",45.335.863/0001-58,-,62.02-3-00 - Desenvolvimento e licenciamento de programas de computador customizáveis (Dispensada *),,
Assessoria /Consultoria - (Experimentação e Validação de Protótipos),SALA DE AULA EMPREENDEDORA LTDA,SALA DE AULA EMPREENDEDORA,(81) 9665-6310,tenaflae@gmail.com,PE,Caruaru,"Avenida Adjar da Silva Case, 800, Cxpst 030 Coworking, 55024-740 - Indianopolis",40.250.733/0001-07,-,85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial ,Link,
Assessoria /Consultoria - (Experimentação e Validação de Protótipos),W F DE LIMA MORAES LTDA,VIDEOCAST,81) 9894-0512,wfcreations@gmail.com,PE,Caruaru,"Rua Martins Afonso, 22, 55006-208 - São Francisco",25.222.219/0001-66,-,"63.99-2-00 - Outras atividades de prestação de serviços de informação não especificadas anteriormente
",,
Capacitação/Treinamento - (Club de TI),Inaldo Gomes de Barros LTDA,Makerama,(81) 9 9184 - 2451,igbarros07@gmail.com,PE,Recife,"Rua do Hospício, 949 EDF Bom Pastor",41.072.291/0001-00,-,85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial,,
Capacitação/Treinamento - (Club de TI),Adeilsa da Silva Ferreira Gomes,Creative Maker Club,(81) 9 9400 - 3982,ferreiraadeilsa@gmail.com,PE,Caruaru,"Avenida Dom Bosco, 339 , 55012-550 - Maurício de Nassau",42.400.415/0001-00,-,85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial,,10
Capacitação/Treinamento - (Club de TI),DUIT Tecnologia LTDA ME,DUIT Tecnologia,(81) 9 9400 - 3982,lucio@duit.works,PE,São Lourenço da Mata,"Avenida Clodoaldo, 11 - Gomes de Araujo",23.412.542/0001-77,-,"63.19-4-00 - Portais, provedores de conteúdo e outros serviços de informação na internet (Dispensada *)",,
Capacitação/Treinamento - (Empreendedora para mulheres artesãs do Alto do Moura em Caruaru),Cultive Soluções Culturais LTDA ,CULTIVE,(81) 9648-4055,ALGLIRA@GMAIL.COM,PE,Jaboatão dos Guararapes,"R POMBOS, 200, SL 207 CXPST 016, 54.440-360 - CANDEIAS",16.888.884/0001-00,-,"74.90-1-99 - Outras atividades profissionais, científicas e técnicas não especificadas anteriormente",Link,
Capacitação/Treinamento - (Empreendedora para mulheres artesãs do Alto do Moura em Caruaru),GEYSA KARLA ALVES GALVAO 04663530494,GALVAO SOLUCOES EMPRESARIAIS,(81) 9181-1964,GEYSAKARLAGALVAO@GMAIL.COM,PE,Recife,"R DO HOSPICIO, 923, 50.050-050 - BOA VISTA",31.205.324/0001-90,-,85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial,,
Capacitação/Treinamento - (Empreendedora para mulheres artesãs do Alto do Moura em Caruaru),RANIELE DUARTE DA SILVA 06365910428,RANI DUARTE,(81) 9822-5341,RANIDUARTE@GMAIL.COM,PE,Recife,"R CARNEIRO PESSOA, 617, 51.011-070 - PINA",44.585.900/0001-13,-,85.92-9-99 - Ensino de arte e cultura não especificado anteriormente,Link,
"Capacitação/Treinamento - (Problematização, ideação de desafios envolvendo o contexto local de Caruaru)",AMANDA LOPES OLIVEIRA 11113428490,AMANDA LOPES OLIVEIR,(81) 9760-8223,AMANDALOPESOLIV@GMAIL.COM,PE,Recife,"R CONSELHEIRO PORTELA, 130A, APT 1301, EDF AQUARELA, 52.020-212 - GRACAS","42.164.340/0001-06
",-,85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial,,
"Capacitação/Treinamento - (Problematização, ideação de desafios envolvendo o contexto local de Caruaru)",ARTHUR SANTOS FERREIRA 10484013408,-,(81) 3456-5127,ARTHURYPE@GMAIL.COM,PE,Caruaru,"R PROJETADA N 21, 90, 55.002-970 - BOA VISTA",27.458.143/0001-06,-,18.21-1-00 - Serviços de pré-impressão,,
"Clube de ciências (matemática, física, biologia e química)",VITOR EMANUEL MUNIZ GOMES 02424411492,PRA Q VENDER,(81) 9690-5800,vitmgor@yahoo.com.br,PE,Recife,"R DOUTOR JOSE MARIA, 246, APT 604,52.041-015, ENCRUZILHADA",32.658.203/0001-66,-,-,,
Clube de Programação,ADEILSA DA SILVA FERREIRA GOMES 00903856409,CREATIVE MAKER CLUB,(81) 2161-9110,FERREIRAADEILSA@GMAIL.COM,PE,Caruaru,"AV DOM BOSCO, 339, 55.012-550 - MAURICIO DE NASSAU",42.400.415/0001-00,-,85.99-6-04 - Treinamento em desenvolvimento profissional e gerencial,,
Coffee/Buffet,Panini Delicatessen,-,(81) 9971 - 0077,-,PE,Caruaru,"Avenida Agamenon Magalhães, 634 - Maurício de Nassau",02.098.202/0001-43,-,-,,
Coffee/Buffet,A.E.RIBEIRO LTDA,PANIFICADORA NOSSA SENHORA DE FATIMA,(81) 3721-1157/ (81) 9900-9610,BRENO_ROCHA13@HOTMAIL.COM,PE,Caruaru,"Rua Tupy, 502, 55016-080 - Salgado",29.142.829/0001-00,-,10.91-1-02 - Fabricação de produtos de padaria e confeitaria com predominância de produção própria,,
Coffee/Buffet,PANIFICADORA SONHO REAL LTDA,SONHO REAL,(81) 3721-5637/ (81) 3722-6760,IGSILVA1@HOTMAIL.COM,PE,Caruaru,"Rua Dr. José Mariano, 395 - Nossa Sra. das Dores",00.788.045/0001-72,-,10.91-1-02 - Fabricação de produtos de padaria e confeitaria com predominância de produção própria,,
Coffee/Buffet,PADARIA PAES E ALIMENTOS LTDA,PAES E DELICIAS,(81) 3723 - 3300 | (81) 9888 - 0068,-,PE,Caruaru,"Praça Dep. Henrique Pinto, 66 - Nossa Sra. das Dores",05.971.325/0001-35,-,10.91-1-02 - Fabricação de produtos de padaria e confeitaria com predominância de produção própria,,
Coffee/Buffet,Bacos - Buffet,Bacos's,(81) 9977 - 8744,bacosbuffet@gmail.com,PE,Caruaru,"Eventos, BR-104, KM 62 - Nova Caruaru",07.057.590/0001-38,-,"82.30-0-01 - Serviços de organização de feiras, congressos, exposições e festas",,8.5
Coffee/Buffet,Espaço Renato Machado Buffet,Buffet Renato Machado,(81) 9 9127 - 2222,brenatomachado@gmail.com,PE,Caruaru,"PE95 KMO1, bairro - Luiz Gonzaga",08.503.578/0001-72,-,56.20-1-02 - Serviços de alimentação para eventos e recepções - bufê,,
Coffee/Buffet,Manoel Januario de França,Marina's Buffet,(81) 9 9190 - 7573,valdilenemarina@hotmail.com,PE,Caruaru,"Rua Professor Antônio Guedes, Nº 260 - Alto Do Moura",21.646.181/0001-06,-,56.20-1-01 - Fornecimento de alimentos preparados preponderantemente para empresas,,
Coffee/Buffet,ROSANIA MARIA DE LIMA SILVA,ROSA FESTAS E BUFFET,(81) 3723 - 9991,rosafestabuffet@yahoo.com.br,PE,Caruaru,"Rua Pedro Augusto Rocha dos Santos, 26 - Santa Rosa",-,-,-,,
Coffee/Buffet,Rosania Maria de Lima Silva,-,(81) 3095-2200,rosafestabuffet@yahoo.com.br,-,-,-,12.496.882/0001-07,-,-,,
Coffee/Buffet,Carlos Alberto Cavalcanti Pereira Buffet,Buffet Renata Valenca,(81) 9 8782 - 7997 | (81) 9 9187 - 3613,renvalenca@hotmail.com,PE,Recife,"Rua Desembargador Motta Júnior, 31 - Casa Amarela",30.970.593/0001-80,-,56.20-1-01 - Fornecimento de alimentos preparados preponderantemente para empresas,,
Coffee/Buffet,Marilza Albuquerque felix -ME,Casa Branca Buffet,(81) 33339 - 5051,casabrancarecepcoes@gmail.com,PE,Recife,"Rua Pampulha ,160, 51200-090 - Imbiribeira",38.534.274/0001-33,-,56.20-1-02 - Serviços de alimentação para eventos e recepções - bufê,,
Coffee/Buffet,O tabuleiro,-, 81 98705-9292,-,-,-,-,-,-,-,,
Coffee/Buffet,Patricia,-, (81) 98143-1946,-,-,-,-,-,-,-,,
Coffee/Buffet,Solange Via Sabor,-,81 82686264,solangemendes1961@bol.com.br,-,-,-,-,-,-,,
Coffee/Buffet,Sheila,-,81 98333638,Contato@gustarerestaurante.com.br,-,-,-,-,-,-,,
Coffee/Buffet,Dona Rosa,-,81 79102116,-,-,-,-,-,-,-,,
Coffee/Buffet,Pan Nossa de Fatima,,(81) 8875-2146,NÃO TEM EMAIL,PE,Caruaru,Salgado,,,,,9
Dedetização,ALFA SAUDE AMBIENTAL LTDA,ALFA SAUDE AMBIENTAL,(81) 9675-5971,-,PE,Caruaru,"AV DOS ESTADOS, 100, LOJA: B, 55.014-440 - MAURICIO DE NASSAU",19.248.946/0001-08,-,81.22-2-00 - Imunização e controle de pragas urbanas,,
Dedetização,FOCUS SERVICOS AMBIENTAIS LTDA,FOCUS SERVICOS AMBIENTAIS,(81) 3032-3210,FOCUSSERVICOS2020@OUTLOOK.COM,PE,Recife,"AV FORTE DO ARRAIAL NOVO DO BOM JESUS, 185, 50.721-110 - CORDEIRO","09.595.245/0001-83
",-,81.22-2-00 - Imunização e controle de pragas urbanas,,
Edições,Emerson Nunes Silva Publicidade ME,W2D Comunicação,(81) 9 9977 - 7891 | (81) 4101 - 1346,contato@w2dcomunicacao.com.br,PE,Recife,"Rua Capitão Sampaio Xavier, 349, sala 03 - Graças",22.718.739/0001-76,www.w2dcomunicacao.com.br,73.11-4-00 - Agências de publicidade,Link,
Edições,Catarina de Angola Oliveira Silva,Angola Comunicação,(81) 9 9207 - 4511,contato@angolacomunicacao.com,PE,Recife,"Avenida Antônio Torres Galvão, 221, 51.160-330 - Imbiribeira",27.859.317/0001-34,-,63.99-2-00 - Outras atividades de prestação de serviços de informação não especificadas anteriormente,,
